<>	1	2	3	4	5	6	7	8	9	10	11	12	
A					1.392	0.90844	0.67086	0.44664	0.31286	0.30822	0.20874	0.18566	
B					1.3559	0.94732	0.6653	0.44894	0.30962	0.28808	0.1891	0.20466	
C					1.4463	0.93412	0.66482	0.4087	0.26304	0.35614	0.24178	0.19602	
D					1.4077	0.9073	0.65772	0.43396	0.31152	0.30018	0.1953	0.1808	
E					1.5009	1.0118	0.76518	0.56938	0.53836	0.2982	0.21138	0.1843	
F					1.5179	1.0391	0.73936	0.50972	0.4284	0.32096	0.22702	0.19852	
G					1.5475	1.0548	0.73958	0.50074	0.31684	0.32632	0.2043	0.19992	
H					1.5535	1.0373	0.77114	0.49046	0.36276	0.30106	0.2215	0.2081	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A					1.373	0.94554	0.69188	0.47072	0.33528	0.3137	0.20882	0.1845	
B					1.3347	0.9597	0.68006	0.46232	0.3313	0.29086	0.19028	0.19852	
C					1.4294	0.95054	0.67956	0.45836	0.30338	0.3659	0.16922	0.19246	
D					1.3914	0.9108	0.66976	0.45552	0.32988	0.30348	0.19698	0.17646	
E					1.475	1.0716	0.77202	0.4976	0.31676	0.3047	0.2094	0.18684	
F					1.4906	1.0564	0.74566	0.48296	0.4383	0.31336	0.22808	0.19526	
G					1.5211	1.0674	0.74484	0.5114	0.36642	0.33334	0.20794	0.19484	
H					1.5247	1.0423	0.77118	0.50446	0.37236	0.30566	0.22306	0.2043	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A					1.3499	0.95644	0.71646	0.49002	0.35742	0.31584	0.2194	0.18236	
B					1.3075	0.97914	0.70492	0.4851	0.35214	0.29896	0.19718	0.2003	
C					1.403	0.97028	0.70404	0.47902	0.2999	0.37176	0.17538	0.19768	
D					1.3676	0.92438	0.6956	0.47422	0.34542	0.31472	0.20648	0.17844	
E					1.4397	1.0694	0.77424	0.49624	0.3332	0.30244	0.21272	0.1871	
F					1.457	1.0654	0.75112	0.50914	0.37482	0.31418	0.22912	0.19542	
G					1.4861	1.0716	0.74614	0.51318	0.36864	0.33064	0.20774	0.19256	
H					1.4898	1.0278	0.77508	0.50534	0.37232	0.30956	0.22498	0.20432	
