<>	1	2	3	4	5	6	7	8	9	10	11	12	
A					1.4044	0.86504	0.66286	0.44522	0.3116	0.3041	0.20568	0.18422	
B					1.3518	0.93254	0.64944	0.44294	0.30292	0.288	0.18706	0.20242	
C					1.4458	0.92532	0.65362	0.40906	0.26722	0.35636	0.2389	0.1932	
D					1.4099	0.89894	0.65046	0.4362	0.31508	0.29882	0.19236	0.18088	
E					1.4977	1.0571	0.76672	0.59378	0.58926	0.29756	0.21164	0.18904	
F					1.5132	1.0404	0.74066	0.51502	0.4813	0.31106	0.22398	0.19526	
G					1.544	1.0567	0.74134	0.50848	0.32054	0.32706	0.20804	0.19638	
H					1.5475	1.041	0.77212	0.49786	0.36946	0.30414	0.22422	0.20766	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A					1.3644	0.92278	0.66706	0.44982	0.32286	0.31358	0.20782	0.18152	
B					1.3196	0.9464	0.664	0.45246	0.32504	0.29418	0.18864	0.19962	
C					1.4166	0.93762	0.66536	0.4479	0.294	0.36364	0.16928	0.19416	
D					1.3799	0.90572	0.66372	0.44784	0.32652	0.3066	0.19664	0.1767	
E					1.4602	1.063	0.76454	0.49	0.3214	0.30446	0.20992	0.1902	
F					1.4797	1.0517	0.73832	0.45776	0.4423	0.31326	0.22772	0.19514	
G					1.5088	1.0631	0.73868	0.50336	0.36214	0.33024	0.20696	0.1967	
H					1.5131	1.0385	0.76598	0.4979	0.36842	0.30698	0.22292	0.20566	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A					1.3319	0.93978	0.69846	0.472	0.3391	0.31336	0.21472	0.18124	
B					1.2944	0.97954	0.69654	0.47592	0.33954	0.29604	0.19248	0.1975	
C					1.3904	0.97186	0.6991	0.4707	0.2945	0.3721	0.17448	0.19716	
D					1.3567	0.92508	0.69712	0.46956	0.33932	0.31088	0.20462	0.17922	
E					1.4276	1.0639	0.77182	0.4892	0.33362	0.30248	0.2123	0.18794	
F					1.4484	1.0649	0.74928	0.5029	0.36914	0.31014	0.22814	0.19326	
G					1.4763	1.0719	0.74502	0.50924	0.36902	0.33282	0.20846	0.19528	
H					1.4804	1.026	0.77776	0.49902	0.36874	0.30546	0.22612	0.20346	
