<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2529	0.26702	0.22808	0.27992	0.10764	0.11048	0.10618	0.10848	0.10826	0.10854	0.1075	0.10556	
B	0.24616	0.278	0.24316	0.27724	0.10822	0.10702	0.10882	0.10848	0.108	0.11108	0.10488	0.10668	
C	0.23952	0.27608	0.23968	0.28188	0.10886	0.10952	0.10684	0.10728	0.1082	0.11372	0.10596	0.10864	
D	0.25446	0.28266	0.27616	0.29524	0.10848	0.10786	0.10548	0.10688	0.10526	0.1112	0.10602	0.10494	
E	0.28998	0.2251	0.28648	0.22526	0.10678	0.10836	0.10778	0.10722	0.10684	0.10824	0.10912	0.10494	
F	0.278	0.23264	0.27642	0.23608	0.1099	0.10956	0.10654	0.10724	0.10602	0.11134	0.10702	0.10542	
G	0.283	0.27562	0.30114	0.2772	0.12152	0.11624	0.11774	0.12294	0.11352	0.10994	0.10914	0.1061	
H	0.28604	0.2558	0.258	0.28336	0.1056	0.11044	0.1063	0.10794	0.10764	0.11164	0.10876	0.1089	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25928	0.26638	0.2296	0.27816	0.10748	0.11044	0.10618	0.10804	0.10752	0.10826	0.10744	0.10532	
B	0.24978	0.27766	0.24538	0.27128	0.10816	0.10722	0.10884	0.10844	0.1074	0.11078	0.1047	0.10682	
C	0.24298	0.26762	0.24006	0.27512	0.10906	0.1095	0.1069	0.10694	0.10778	0.11312	0.10604	0.10866	
D	0.25834	0.27604	0.2709	0.28918	0.10862	0.10804	0.1053	0.1069	0.10532	0.11124	0.10616	0.10508	
E	0.28676	0.23194	0.28662	0.23362	0.1071	0.1082	0.10788	0.10754	0.10698	0.1084	0.10924	0.10486	
F	0.27634	0.23586	0.2755	0.2414	0.1102	0.10964	0.1067	0.1073	0.10624	0.11144	0.10716	0.10554	
G	0.28074	0.27508	0.29612	0.27296	0.12076	0.11596	0.1169	0.12212	0.11304	0.1096	0.10856	0.10568	
H	0.2828	0.25798	0.25738	0.28548	0.1056	0.1107	0.10614	0.10726	0.1076	0.11114	0.10842	0.1085	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25888	0.26336	0.2291	0.27434	0.10738	0.11028	0.10618	0.10812	0.1072	0.10808	0.10732	0.10536	
B	0.2504	0.27136	0.24494	0.26962	0.10816	0.107	0.10892	0.10854	0.10694	0.11058	0.1048	0.10718	
C	0.24588	0.27222	0.24248	0.28016	0.1092	0.10958	0.1068	0.10644	0.1076	0.11298	0.1059	0.10864	
D	0.2602	0.27774	0.26748	0.28826	0.10858	0.10788	0.10498	0.10684	0.10532	0.11102	0.10602	0.10494	
E	0.28496	0.2306	0.28216	0.23354	0.10714	0.10786	0.10786	0.10738	0.10696	0.10828	0.10914	0.10484	
F	0.27484	0.2338	0.27208	0.24388	0.11032	0.10964	0.10654	0.10722	0.1063	0.11144	0.10714	0.1056	
G	0.27662	0.27074	0.29348	0.26982	0.12062	0.11572	0.11666	0.12186	0.11274	0.10964	0.10842	0.1054	
H	0.27978	0.2548	0.25454	0.28246	0.10582	0.11064	0.10606	0.10718	0.10756	0.11092	0.10826	0.10844	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.26352	0.26772	0.23618	0.27822	0.10698	0.1099	0.10574	0.10766	0.10678	0.10766	0.10672	0.10494	
B	0.25634	0.27424	0.2501	0.26876	0.10768	0.10662	0.10842	0.10792	0.1065	0.10998	0.10414	0.10656	
C	0.24804	0.26842	0.24478	0.28064	0.10874	0.10906	0.10626	0.10614	0.10706	0.11228	0.1054	0.10824	
D	0.26466	0.27546	0.27058	0.29014	0.10834	0.10764	0.10466	0.10648	0.10494	0.11072	0.10572	0.1047	
E	0.28336	0.23316	0.2816	0.23582	0.10682	0.10764	0.10736	0.10716	0.1067	0.10788	0.1088	0.10446	
F	0.2749	0.2361	0.26942	0.24604	0.10984	0.1092	0.1062	0.10688	0.10588	0.111	0.10696	0.10526	
G	0.27538	0.27016	0.29358	0.26832	0.12014	0.11522	0.11618	0.12146	0.1124	0.10904	0.10788	0.10502	
H	0.27904	0.2563	0.25334	0.28048	0.10518	0.11006	0.10544	0.1068	0.10698	0.11032	0.10774	0.10802	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.26958	0.26904	0.2384	0.2799	0.1071	0.11004	0.10582	0.1076	0.10692	0.10798	0.10666	0.10508	
B	0.2595	0.2793	0.25636	0.27928	0.1077	0.10702	0.10856	0.10816	0.10662	0.1102	0.10436	0.10668	
C	0.25258	0.27154	0.25128	0.28296	0.10864	0.10944	0.10648	0.10624	0.1072	0.11246	0.10564	0.1084	
D	0.26798	0.27686	0.2691	0.29022	0.10814	0.10762	0.1045	0.1065	0.10502	0.11076	0.10578	0.10474	
E	0.28554	0.23764	0.28192	0.23756	0.10662	0.10752	0.10744	0.10698	0.10644	0.10772	0.10872	0.1044	
F	0.27472	0.23932	0.2704	0.2511	0.10964	0.10932	0.10624	0.10684	0.10576	0.11088	0.10676	0.10506	
G	0.27718	0.27106	0.29214	0.27	0.11978	0.11528	0.11628	0.12132	0.11246	0.1091	0.10798	0.10502	
H	0.28128	0.2563	0.25792	0.28226	0.10528	0.11026	0.10564	0.1069	0.10696	0.11024	0.1078	0.108	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.27448	0.27658	0.24284	0.28394	0.10676	0.10986	0.1057	0.1074	0.10676	0.1078	0.10678	0.10498	
B	0.26622	0.2846	0.2633	0.28	0.10774	0.1069	0.10842	0.10804	0.10662	0.11008	0.10422	0.1066	
C	0.25762	0.2782	0.25462	0.28958	0.10874	0.1096	0.10662	0.1062	0.10724	0.11256	0.10562	0.10856	
D	0.27318	0.2844	0.27434	0.29414	0.10842	0.10776	0.10458	0.10652	0.10508	0.11108	0.10594	0.10488	
E	0.28886	0.24058	0.28306	0.23958	0.10682	0.10768	0.10736	0.10692	0.10676	0.10782	0.10878	0.1045	
F	0.27862	0.24172	0.27324	0.25288	0.1098	0.10942	0.10644	0.10708	0.10604	0.11104	0.10674	0.10528	
G	0.28026	0.27422	0.29524	0.27188	0.11968	0.11528	0.11588	0.12094	0.1121	0.1088	0.10768	0.1046	
H	0.28648	0.26114	0.25838	0.28422	0.10526	0.10998	0.10558	0.10656	0.1071	0.1103	0.10782	0.10776	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.28212	0.28062	0.24574	0.29	0.10704	0.1101	0.10598	0.10776	0.10678	0.10792	0.1068	0.10516	
B	0.27238	0.2897	0.26638	0.29076	0.10808	0.10732	0.1088	0.10834	0.10686	0.1104	0.10448	0.10694	
C	0.26478	0.28156	0.25996	0.294	0.1091	0.10988	0.10686	0.10646	0.10752	0.11274	0.10606	0.10858	
D	0.27756	0.28614	0.2803	0.29966	0.10858	0.10796	0.10472	0.10688	0.10522	0.11106	0.10612	0.10486	
E	0.2904	0.24534	0.28786	0.2465	0.10712	0.108	0.10794	0.10746	0.10698	0.10822	0.10918	0.10492	
F	0.28324	0.24664	0.27494	0.25726	0.11008	0.10958	0.10668	0.10734	0.10612	0.11138	0.10712	0.10552	
G	0.28488	0.27886	0.2986	0.27736	0.12018	0.11564	0.11642	0.12158	0.11288	0.10938	0.10828	0.10498	
H	0.29026	0.2663	0.26314	0.29074	0.10562	0.10974	0.10588	0.107	0.10748	0.11066	0.10808	0.10826	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.29134	0.28742	0.25406	0.30034	0.10704	0.10998	0.10578	0.10774	0.10682	0.10808	0.10678	0.10516	
B	0.27552	0.29048	0.27218	0.29438	0.10784	0.10706	0.10868	0.1082	0.10656	0.11014	0.10436	0.10682	
C	0.27128	0.28884	0.26938	0.29616	0.10896	0.10982	0.10674	0.10622	0.10738	0.11262	0.10604	0.10856	
D	0.28654	0.29282	0.2853	0.30604	0.10836	0.10796	0.10472	0.1068	0.10516	0.11088	0.10604	0.10502	
E	0.29558	0.24908	0.29126	0.25116	0.10694	0.10794	0.10762	0.10732	0.10684	0.10814	0.10908	0.10494	
F	0.28914	0.25266	0.28094	0.26018	0.11006	0.10954	0.10668	0.10728	0.1063	0.11134	0.10718	0.10554	
G	0.2876	0.2814	0.30064	0.27946	0.11998	0.1154	0.11612	0.12126	0.11246	0.10918	0.10796	0.10472	
H	0.29388	0.27102	0.26774	0.29208	0.10542	0.10942	0.10578	0.10694	0.10724	0.11054	0.10812	0.1082	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2975	0.29832	0.26354	0.30912	0.107	0.10986	0.10578	0.10766	0.10678	0.10784	0.10674	0.10502	
B	0.2848	0.30096	0.28134	0.30378	0.10786	0.10702	0.10852	0.10798	0.10656	0.11	0.10434	0.10684	
C	0.27954	0.29606	0.2775	0.3056	0.10878	0.10976	0.10664	0.1062	0.10704	0.11224	0.10578	0.10862	
D	0.297	0.30946	0.2948	0.31428	0.10834	0.1077	0.10444	0.10672	0.10508	0.11082	0.10594	0.10492	
E	0.30096	0.25438	0.29738	0.2574	0.1068	0.10748	0.10752	0.10704	0.10672	0.10796	0.10888	0.1046	
F	0.29266	0.25492	0.2834	0.26948	0.10978	0.10934	0.10642	0.10716	0.10596	0.1111	0.1069	0.10546	
G	0.29142	0.28618	0.3077	0.28566	0.11958	0.11514	0.11612	0.12108	0.1123	0.10878	0.10774	0.10468	
H	0.29694	0.27568	0.27286	0.2992	0.10534	0.10926	0.10562	0.10684	0.10712	0.11028	0.1079	0.10808	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.31034	0.3065	0.27558	0.31744	0.10696	0.10996	0.10582	0.10758	0.10676	0.10794	0.10684	0.10504	
B	0.29766	0.31096	0.2922	0.31432	0.10794	0.10732	0.10866	0.10818	0.10664	0.11008	0.10446	0.1069	
C	0.29056	0.30564	0.28686	0.31288	0.1089	0.1097	0.10678	0.1063	0.10718	0.11244	0.10594	0.1086	
D	0.30724	0.3138	0.30374	0.31854	0.10852	0.10786	0.1046	0.10688	0.10526	0.1109	0.10612	0.10488	
E	0.30882	0.2609	0.30084	0.2635	0.10716	0.10782	0.1077	0.1074	0.10684	0.10818	0.1091	0.10482	
F	0.30116	0.26242	0.29114	0.2756	0.11016	0.10942	0.1067	0.1073	0.10626	0.11136	0.10714	0.10556	
G	0.29976	0.29152	0.31214	0.28992	0.11996	0.11536	0.11618	0.1212	0.11254	0.10902	0.10794	0.10478	
H	0.30496	0.28326	0.28026	0.30634	0.10564	0.1095	0.10574	0.1071	0.10736	0.1103	0.10796	0.10812	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.32456	0.32324	0.28922	0.3323	0.107	0.11022	0.10598	0.1077	0.10664	0.10814	0.10676	0.10522	
B	0.31106	0.32344	0.30466	0.32646	0.10814	0.10718	0.10864	0.10818	0.10646	0.1099	0.10448	0.10692	
C	0.30634	0.31996	0.30058	0.32506	0.10878	0.10966	0.10686	0.10634	0.10736	0.11248	0.10592	0.1087	
D	0.32074	0.33064	0.3222	0.33752	0.10864	0.108	0.10452	0.10684	0.1055	0.11106	0.10604	0.1051	
