<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25828	0.25408	0.24864	0.24324	0.26434	0.24008	0.24228	0.23812	0.23652	0.23572	0.23996	0.25222	
B	0.2784	0.22774	0.22352	0.22868	0.22172	0.20688	0.21848	0.21612	0.21436	0.2294	0.21882	0.2151	
C	0.26212	0.2401	0.24796	0.2455	0.23624	0.2494	0.23812	0.23832	0.24238	0.25384	0.26002	0.24316	
D	0.2615	0.25506	0.24624	0.25212	0.2407	0.2594	0.2335	0.24068	0.24134	0.23762	0.24546	0.24692	
E	0.12042	0.1229	0.12544	0.13182	0.126	0.1258	0.12286	0.13	0.1199	0.1186	0.1137	0.11586	
F	0.12128	0.11756	0.12214	0.13588	0.1225	0.18212	0.1227	0.1403	0.11538	0.12164	0.11376	0.12014	
G	0.12386	0.11868	0.12942	0.13286	0.1185	0.12624	0.12466	0.13612	0.11816	0.1205	0.12438	0.1197	
H	0.12354	0.11962	0.1274	0.19866	0.17072	0.18426	0.1765	0.19948	0.18276	0.17542	0.1132	0.11092	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25732	0.25032	0.24618	0.2482	0.26262	0.23546	0.2431	0.23718	0.24112	0.23268	0.23716	0.24424	
B	0.28322	0.23004	0.22806	0.23416	0.22434	0.21042	0.22308	0.22112	0.21734	0.23322	0.22212	0.22296	
C	0.2585	0.23784	0.247	0.24466	0.23386	0.24802	0.2389	0.23884	0.24224	0.25176	0.2584	0.24232	
D	0.25992	0.25268	0.24514	0.25298	0.23772	0.25652	0.23164	0.24122	0.24018	0.2368	0.24304	0.24608	
E	0.1257	0.1289	0.13222	0.14574	0.1319	0.13136	0.1283	0.1371	0.12432	0.12342	0.12034	0.12198	
F	0.1271	0.1232	0.12788	0.14574	0.12754	0.19122	0.12832	0.14756	0.12092	0.12618	0.11936	0.12938	
G	0.12862	0.1249	0.1332	0.14604	0.1238	0.13194	0.12882	0.1435	0.12436	0.1241	0.12992	0.12524	
H	0.12842	0.1251	0.13028	0.20528	0.17454	0.19006	0.18524	0.20892	0.18806	0.1792	0.11762	0.11656	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25338	0.24836	0.24306	0.2558	0.261	0.23308	0.24182	0.23586	0.23344	0.23086	0.23568	0.24376	
B	0.28254	0.23142	0.22962	0.23508	0.2263	0.21186	0.22662	0.22254	0.2185	0.23514	0.22364	0.2242	
C	0.25784	0.23588	0.2474	0.24232	0.23202	0.25382	0.23648	0.23874	0.2404	0.25166	0.2572	0.24162	
D	0.25792	0.24918	0.24324	0.24926	0.23642	0.25478	0.23258	0.24094	0.23858	0.2354	0.24308	0.24458	
E	0.12824	0.13162	0.13818	0.1494	0.13348	0.13364	0.1306	0.13772	0.12638	0.12532	0.12238	0.12538	
F	0.12864	0.12512	0.13316	0.14842	0.13022	0.19482	0.13066	0.147	0.12252	0.12822	0.12184	0.13402	
G	0.13004	0.1267	0.14154	0.14688	0.12542	0.13476	0.13228	0.14268	0.12678	0.1261	0.13286	0.12854	
H	0.13098	0.12752	0.13052	0.2083	0.17622	0.19334	0.18642	0.20676	0.18988	0.18056	0.12118	0.11824	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25386	0.24768	0.24324	0.23594	0.2571	0.2317	0.23836	0.23328	0.23116	0.23036	0.23354	0.242	
B	0.28294	0.23264	0.23036	0.23416	0.2273	0.21416	0.22636	0.2235	0.21854	0.23766	0.2244	0.2258	
C	0.25606	0.2345	0.24352	0.24008	0.23066	0.24598	0.23396	0.2366	0.23936	0.25072	0.25474	0.24	
D	0.25526	0.24984	0.24158	0.24804	0.23516	0.25362	0.23012	0.23884	0.237	0.23602	0.24204	0.24512	
E	0.13106	0.13712	0.13762	0.15122	0.13728	0.13598	0.13246	0.13788	0.12804	0.12648	0.12456	0.12676	
F	0.13118	0.12712	0.13324	0.14882	0.13306	0.19694	0.13214	0.1463	0.12392	0.1301	0.125	0.13604	
G	0.13132	0.13028	0.14082	0.14562	0.12838	0.13522	0.13328	0.14156	0.12932	0.12666	0.13528	0.12978	
H	0.13168	0.13022	0.1311	0.21188	0.17962	0.19626	0.19208	0.20496	0.19268	0.18526	0.12454	0.1214	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25458	0.24876	0.2438	0.24876	0.2585	0.23498	0.24156	0.23488	0.23392	0.2296	0.23624	0.24234	
B	0.28434	0.23296	0.23038	0.237	0.22826	0.21394	0.22836	0.22564	0.21984	0.2364	0.22742	0.22812	
C	0.257	0.234	0.244	0.24544	0.23116	0.2515	0.23474	0.2368	0.24124	0.24948	0.2563	0.24088	
D	0.25542	0.24956	0.24104	0.2492	0.2343	0.25376	0.23056	0.24006	0.23824	0.2356	0.2437	0.24508	
E	0.13118	0.13686	0.13702	0.15154	0.1368	0.13428	0.13202	0.1381	0.12864	0.1268	0.12662	0.12792	
F	0.13094	0.12668	0.13342	0.15146	0.13226	0.19516	0.13176	0.14668	0.12516	0.13104	0.12694	0.13748	
G	0.1336	0.1304	0.14176	0.14604	0.12796	0.13502	0.1336	0.14238	0.13172	0.12816	0.13754	0.13088	
H	0.13332	0.13048	0.13122	0.2109	0.17822	0.19568	0.1921	0.20614	0.1929	0.18086	0.1251	0.12212	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25418	0.24792	0.2436	0.24728	0.25912	0.2354	0.24764	0.23658	0.23514	0.22898	0.23522	0.24434	
B	0.28262	0.23224	0.23004	0.23656	0.22834	0.21434	0.22872	0.22608	0.22202	0.23836	0.22906	0.22874	
C	0.25836	0.2344	0.24648	0.2438	0.23038	0.24372	0.23418	0.23628	0.23946	0.24902	0.25716	0.24076	
D	0.25566	0.24764	0.24294	0.24754	0.23696	0.25168	0.23106	0.2406	0.23942	0.23438	0.24532	0.2456	
E	0.1313	0.1348	0.13614	0.15208	0.13684	0.13366	0.13278	0.13744	0.12868	0.12694	0.12694	0.12772	
F	0.13048	0.1256	0.13016	0.15162	0.13178	0.19484	0.13166	0.14508	0.12604	0.13032	0.1269	0.13658	
G	0.13376	0.12998	0.13556	0.1442	0.12752	0.13418	0.13368	0.14136	0.1319	0.12842	0.1374	0.13148	
H	0.13336	0.13018	0.13068	0.21096	0.1777	0.1941	0.19298	0.20522	0.19044	0.18098	0.12528	0.12138	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25662	0.24786	0.24494	0.2495	0.2586	0.23338	0.24446	0.23608	0.2367	0.23076	0.23866	0.24814	
B	0.2834	0.2321	0.23026	0.23702	0.22814	0.21416	0.22834	0.22522	0.22148	0.23764	0.22894	0.22984	
C	0.25746	0.23356	0.248	0.24144	0.2304	0.24296	0.23456	0.23468	0.23996	0.24716	0.25596	0.24022	
D	0.257	0.24674	0.24298	0.24826	0.2354	0.25182	0.23148	0.23918	0.23754	0.23244	0.24226	0.2449	
E	0.13138	0.1364	0.1351	0.15282	0.13666	0.13274	0.13206	0.13742	0.12876	0.12754	0.12662	0.1286	
F	0.13082	0.12596	0.13	0.1511	0.13244	0.195	0.1322	0.14496	0.12602	0.13066	0.1275	0.13632	
G	0.13374	0.12992	0.13506	0.14434	0.1283	0.13422	0.13368	0.14094	0.13202	0.12792	0.13704	0.1306	
H	0.13444	0.13066	0.12996	0.2124	0.17778	0.19492	0.19432	0.2055	0.19148	0.1818	0.12536	0.12138	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25506	0.24856	0.24532	0.23908	0.2596	0.23284	0.24676	0.23574	0.23354	0.22806	0.23734	0.24528	
B	0.2844	0.2338	0.23316	0.23902	0.22978	0.21608	0.23178	0.22666	0.22344	0.23854	0.2324	0.2323	
C	0.25678	0.23328	0.24456	0.24142	0.23422	0.25042	0.23718	0.23644	0.24054	0.24786	0.25748	0.24198	
D	0.25556	0.24766	0.24386	0.24902	0.23566	0.2538	0.23382	0.24098	0.23954	0.23234	0.24454	0.2471	
E	0.132	0.13622	0.13476	0.15318	0.13716	0.13296	0.13206	0.13714	0.12956	0.12774	0.12938	0.12972	
F	0.13118	0.12658	0.13016	0.15222	0.13274	0.19466	0.1322	0.1455	0.12654	0.13018	0.12794	0.13672	
G	0.13484	0.13084	0.1353	0.14496	0.12922	0.13452	0.13482	0.14128	0.13202	0.12786	0.1376	0.13112	
H	0.1346	0.13126	0.13056	0.21472	0.17786	0.1944	0.19528	0.2057	0.19314	0.18042	0.1258	0.12158	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25502	0.24824	0.24686	0.24316	0.2585	0.23294	0.2481	0.23752	0.23954	0.22988	0.24016	0.24834	
B	0.2849	0.2361	0.23506	0.23916	0.23004	0.21678	0.23514	0.22756	0.2249	0.23786	0.23358	0.23512	
C	0.25674	0.23328	0.24662	0.24196	0.23272	0.2506	0.239	0.23782	0.24032	0.2493	0.25982	0.24402	
D	0.2568	0.24774	0.24544	0.24746	0.23538	0.25346	0.23568	0.24064	0.23972	0.23328	0.24604	0.24846	
E	0.13296	0.13636	0.13658	0.15466	0.13822	0.13326	0.13294	0.1372	0.13012	0.12744	0.13102	0.1304	
F	0.13198	0.12692	0.1307	0.15302	0.1341	0.19484	0.13356	0.1452	0.1282	0.13116	0.12948	0.13752	
G	0.1352	0.13148	0.13478	0.14558	0.12968	0.13452	0.13608	0.14114	0.13312	0.12768	0.13982	0.1319	
H	0.1355	0.13166	0.13096	0.21492	0.17796	0.19416	0.19482	0.20606	0.19402	0.18098	0.12704	0.12294	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
