<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.40238	0.40088	0.42074	0.42744	0.41494	0.41216	0.4587	0.4102	0.41808	0.41346	0.40144	0.41846	
B	0.40408	0.45422	0.42558	0.42552	0.3964	0.41976	0.44944	0.40708	0.42124	0.39768	0.4074	0.38846	
C	0.442	0.3667	0.40204	0.38918	0.4151	0.37062	0.4261	0.41662	0.40142	0.40824	0.40154	0.43316	
D	0.38076	0.37112	0.35662	0.40204	0.40382	0.43286	0.4562	0.43122	0.42278	0.38464	0.39266	0.39412	
E	0.39798	0.38114	0.38018	0.3607	0.39416	0.41654	0.42882	0.40518	0.40144	0.39058	0.39506	0.40258	
F	0.36452	0.34922	0.38986	0.39602	0.4289	0.32704	0.44026	0.39144	0.37252	0.3901	0.38288	0.41258	
G	0.4004	0.38798	0.4033	0.35714	0.39376	0.37378	0.38748	0.35558	0.37518	0.37256	0.3508	0.39132	
H	0.35412	0.3509	0.38208	0.34108	0.35032	0.3921	0.37922	0.32678	0.36352	0.373	0.35674	0.37554	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.39718	0.40082	0.41042	0.42166	0.41754	0.3905	0.45448	0.40626	0.41312	0.40596	0.39232	0.41254	
B	0.40318	0.41064	0.41668	0.43044	0.3519	0.4118	0.44392	0.4022	0.4156	0.39274	0.40096	0.38192	
C	0.43756	0.43512	0.3971	0.38706	0.40928	0.36936	0.42386	0.41344	0.39634	0.40116	0.3948	0.42568	
D	0.44072	0.40432	0.35136	0.39298	0.39872	0.42762	0.45174	0.42468	0.41816	0.37968	0.38458	0.3893	
E	0.39678	0.38028	0.37962	0.44224	0.39382	0.41468	0.43056	0.40282	0.39658	0.38654	0.39288	0.40242	
F	0.3613	0.34548	0.38904	0.39164	0.42304	0.37178	0.43958	0.3845	0.3692	0.38	0.37866	0.41104	
G	0.32904	0.3879	0.40186	0.3446	0.39122	0.37866	0.38412	0.35042	0.37154	0.36342	0.34918	0.38762	
H	0.34734	0.34874	0.38162	0.33506	0.34492	0.37008	0.3718	0.32072	0.36288	0.37324	0.35202	0.36872	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.39676	0.40044	0.41122	0.41372	0.4163	0.39286	0.45392	0.40572	0.41342	0.40778	0.39152	0.40816	
B	0.39994	0.41032	0.41592	0.4192	0.35038	0.40992	0.44266	0.3998	0.41204	0.39358	0.39906	0.37838	
C	0.38984	0.4282	0.39642	0.40302	0.40738	0.36844	0.42238	0.4123	0.39574	0.39704	0.39516	0.42352	
D	0.37626	0.4037	0.41646	0.39554	0.39944	0.42786	0.45176	0.42562	0.41704	0.3795	0.38716	0.38796	
E	0.3966	0.37916	0.37964	0.41788	0.39336	0.39354	0.42866	0.40184	0.3953	0.38326	0.39046	0.39662	
F	0.36142	0.3443	0.38698	0.38776	0.422	0.32084	0.43828	0.3807	0.37138	0.38046	0.37544	0.41212	
G	0.32832	0.38888	0.40378	0.3804	0.39402	0.38866	0.38888	0.35218	0.36954	0.36368	0.35286	0.3848	
H	0.3502	0.34818	0.37832	0.33768	0.34574	0.38054	0.37014	0.3213	0.36458	0.37176	0.3489	0.37004	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.39796	0.39934	0.40922	0.42138	0.37488	0.4011	0.45304	0.40268	0.41106	0.40666	0.39214	0.40728	
B	0.39934	0.41038	0.41518	0.41846	0.35052	0.40848	0.44294	0.39944	0.41458	0.39248	0.39874	0.37776	
C	0.39022	0.40142	0.39728	0.39762	0.4104	0.37206	0.4201	0.4094	0.39386	0.39708	0.39072	0.41826	
D	0.37786	0.3473	0.35216	0.39458	0.39772	0.42452	0.45066	0.4233	0.41596	0.37768	0.38426	0.38742	
E	0.39764	0.38254	0.38158	0.40904	0.39328	0.4076	0.42904	0.40198	0.39584	0.38684	0.39138	0.39488	
F	0.35858	0.3424	0.38716	0.39118	0.42104	0.35614	0.43874	0.38208	0.37092	0.38126	0.3762	0.41196	
G	0.43762	0.38916	0.40184	0.3771	0.39102	0.38556	0.38558	0.35008	0.3718	0.36714	0.34824	0.38414	
H	0.35036	0.34938	0.37952	0.33536	0.37496	0.3732	0.37548	0.31842	0.36252	0.3726	0.3521	0.37114	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.39684	0.3941	0.4085	0.41632	0.4076	0.39582	0.45194	0.40224	0.40814	0.40334	0.3896	0.40602	
B	0.39508	0.41348	0.41498	0.42236	0.38892	0.40902	0.44214	0.39764	0.41198	0.38952	0.39836	0.37556	
C	0.38972	0.39602	0.39586	0.39862	0.40218	0.36524	0.4213	0.4105	0.39728	0.39714	0.393	0.4213	
D	0.46948	0.34612	0.4225	0.39558	0.39832	0.4247	0.4482	0.42168	0.4144	0.37462	0.38592	0.38486	
E	0.39666	0.3834	0.38138	0.40912	0.39404	0.41644	0.42868	0.40158	0.39298	0.38536	0.38938	0.39236	
F	0.36302	0.34608	0.39208	0.3913	0.42526	0.32026	0.44062	0.38334	0.37252	0.38366	0.37684	0.41232	
G	0.4011	0.39024	0.40312	0.37824	0.39128	0.39294	0.38784	0.34896	0.3715	0.36592	0.34888	0.38554	
H	0.3511	0.34882	0.38028	0.33668	0.374	0.37294	0.37014	0.3202	0.3644	0.3724	0.3511	0.36986	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.3959	0.40128	0.40962	0.42152	0.41214	0.3979	0.45158	0.40034	0.4101	0.4029	0.39012	0.40528	
B	0.39348	0.41058	0.41668	0.42552	0.38028	0.4103	0.44332	0.39676	0.41286	0.39188	0.39988	0.37762	
C	0.4358	0.42794	0.3973	0.40198	0.42386	0.3687	0.4223	0.41126	0.3963	0.3974	0.3927	0.41892	
D	0.43618	0.40212	0.41344	0.39032	0.39686	0.41952	0.44694	0.42282	0.41424	0.37578	0.38504	0.3864	
E	0.3997	0.38458	0.38398	0.4099	0.39612	0.41978	0.42896	0.40064	0.3944	0.3925	0.39336	0.39556	
F	0.36132	0.3467	0.39062	0.39134	0.42332	0.34966	0.44056	0.38036	0.3722	0.38628	0.37516	0.41216	
G	0.32882	0.3889	0.40032	0.37888	0.38918	0.37972	0.38526	0.35022	0.3706	0.36656	0.35054	0.38558	
H	0.35098	0.34934	0.38226	0.33734	0.35076	0.3742	0.37288	0.3203	0.36032	0.37206	0.349	0.36778	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.39882	0.39746	0.40956	0.41624	0.41948	0.38942	0.4536	0.40076	0.41102	0.40432	0.38932	0.40824	
B	0.39378	0.41426	0.41608	0.42922	0.38778	0.4076	0.44246	0.39684	0.41042	0.38862	0.39944	0.37836	
C	0.43346	0.3898	0.39582	0.40342	0.41168	0.41218	0.42038	0.4117	0.39566	0.39966	0.39372	0.42226	
D	0.3778	0.3448	0.4129	0.39198	0.39784	0.35442	0.44816	0.42292	0.41368	0.38078	0.38416	0.38754	
E	0.4013	0.384	0.3836	0.41056	0.39744	0.39482	0.43116	0.40032	0.39338	0.38682	0.39338	0.3986	
F	0.36648	0.34602	0.3907	0.3905	0.425	0.3721	0.44284	0.38454	0.37626	0.38762	0.37904	0.41208	
G	0.33114	0.39214	0.40622	0.37928	0.39362	0.38156	0.3892	0.35218	0.37294	0.37008	0.35286	0.38386	
H	0.35206	0.3521	0.3825	0.33538	0.37336	0.3739	0.37136	0.3178	0.3593	0.37338	0.3496	0.37252	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.39974	0.4041	0.40998	0.41496	0.38494	0.3669	0.4526	0.39966	0.4082	0.40604	0.39016	0.40816	
B	0.39856	0.41482	0.41762	0.41714	0.38904	0.4122	0.444	0.3981	0.41386	0.39116	0.40082	0.37618	
C	0.39368	0.39204	0.39674	0.39986	0.45004	0.36826	0.42236	0.41052	0.39422	0.39922	0.3948	0.42076	
D	0.46846	0.4047	0.40954	0.39326	0.39748	0.4217	0.4483	0.42088	0.41386	0.37774	0.38476	0.38976	
E	0.401	0.3853	0.38798	0.41206	0.39958	0.39078	0.43556	0.40732	0.39904	0.3948	0.39854	0.39942	
F	0.36704	0.35088	0.39168	0.39288	0.42486	0.37416	0.4425	0.38208	0.37512	0.38932	0.38246	0.41598	
G	0.3313	0.39114	0.40422	0.38004	0.39078	0.38072	0.38496	0.34936	0.3745	0.36884	0.35194	0.38618	
H	0.3516	0.35272	0.38124	0.33584	0.3756	0.37268	0.36944	0.3219	0.36166	0.37356	0.35082	0.37452	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.39938	0.39432	0.41036	0.42334	0.38458	0.40378	0.45316	0.39942	0.40936	0.40554	0.39142	0.40802	
B	0.3947	0.41174	0.41586	0.41456	0.38712	0.41122	0.44394	0.39668	0.4105	0.3905	0.40124	0.37878	
C	0.43922	0.40186	0.39984	0.402	0.45198	0.37072	0.42312	0.41134	0.39584	0.39914	0.3945	0.423	
D	0.47222	0.35304	0.41456	0.39486	0.39954	0.41926	0.4496	0.42486	0.41614	0.3845	0.38564	0.38766	
E	0.40354	0.39134	0.3901	0.41466	0.40114	0.41822	0.43792	0.40262	0.39836	0.39532	0.39998	0.40488	
F	0.368	0.35368	0.39878	0.39682	0.42686	0.36132	0.44592	0.3887	0.37802	0.39668	0.38288	0.41828	
G	0.3304	0.39406	0.40564	0.37898	0.3948	0.3888	0.38928	0.35308	0.37612	0.37166	0.35322	0.38824	
H	0.35754	0.35544	0.38522	0.33646	0.31332	0.38078	0.37552	0.3234	0.36328	0.3776	0.35262	0.37612	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.40082	0.3989	0.41044	0.41758	0.4149	0.33952	0.45226	0.39868	0.40852	0.4046	0.3866	0.40756	
B	0.39888	0.41482	0.41846	0.42576	0.39028	0.41008	0.4463	0.3986	0.4136	0.39014	0.39818	0.37954	
C	0.43822	0.43154	0.40072	0.40126	0.4325	0.3724	0.42288	0.41106	0.39606	0.40058	0.39358	0.42232	
