<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23348	0.24526	0.2514	0.26828	0.26614	0.28992	0.26142	0.2668	0.27942	0.28162	0.28548	0.29008	
B	0.23648	0.26602	0.26782	0.25184	0.25984	0.2534	0.25098	0.29044	0.26664	0.29772	0.27308	0.26818	
C	0.25504	0.24056	0.26104	0.27566	0.2803	0.28026	0.27708	0.27482	0.26162	0.3061	0.29448	0.30114	
D	0.23996	0.26838	0.26236	0.26436	0.29602	0.27018	0.28218	0.27782	0.27064	0.30728	0.29896	0.30496	
E	0.2434	0.23976	0.25588	0.2767	0.26854	0.27088	0.26822	0.2859	0.28072	0.2947	0.29282	0.30544	
F	0.26636	0.25132	0.25198	0.26928	0.26978	0.27684	0.2818	0.26206	0.26804	0.26898	0.29926	0.29222	
G	0.26602	0.24704	0.25776	0.28	0.27506	0.2494	0.29478	0.26088	0.29258	0.31088	0.28824	0.28022	
H	0.27004	0.27744	0.271	0.26182	0.2954	0.27114	0.26676	0.29816	0.2682	0.27384	0.2847	0.27226	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2344	0.24506	0.25406	0.26516	0.26542	0.2876	0.25894	0.26338	0.27824	0.27866	0.28316	0.28926	
B	0.23696	0.26642	0.26676	0.24992	0.25938	0.25012	0.24906	0.28672	0.26352	0.29382	0.26672	0.26574	
C	0.25486	0.24078	0.2603	0.27256	0.2779	0.2774	0.27718	0.27456	0.2622	0.3044	0.29282	0.29926	
D	0.24194	0.27026	0.26362	0.26576	0.29606	0.26926	0.28144	0.2767	0.26908	0.30292	0.29314	0.30116	
E	0.24292	0.23902	0.2556	0.27416	0.26754	0.26808	0.26932	0.28408	0.27686	0.293	0.2945	0.30416	
F	0.26552	0.25334	0.25342	0.26964	0.26972	0.27644	0.28354	0.26244	0.26774	0.26716	0.29784	0.2893	
G	0.26444	0.24638	0.25712	0.28058	0.27296	0.24852	0.29576	0.25958	0.2911	0.3076	0.2865	0.2792	
H	0.27024	0.27936	0.27052	0.26204	0.29462	0.27178	0.26856	0.30064	0.2682	0.27294	0.28402	0.27146	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2344	0.24578	0.25412	0.26696	0.26318	0.28806	0.26002	0.26272	0.27402	0.27794	0.28008	0.28564	
B	0.23548	0.26494	0.26612	0.251	0.25678	0.25	0.24938	0.28662	0.26216	0.29234	0.26768	0.26506	
C	0.25392	0.24068	0.26138	0.27218	0.27784	0.27738	0.27746	0.275	0.26158	0.30256	0.29112	0.29688	
D	0.24112	0.26884	0.26414	0.26334	0.2921	0.26642	0.28036	0.27738	0.26876	0.30654	0.2927	0.29764	
E	0.24356	0.23948	0.25574	0.27826	0.26732	0.26894	0.26894	0.28442	0.27772	0.29232	0.29158	0.30288	
F	0.2637	0.25438	0.25156	0.26798	0.2682	0.27748	0.28204	0.26024	0.26624	0.26722	0.2976	0.28798	
G	0.26174	0.2461	0.25692	0.27812	0.27146	0.24792	0.2941	0.25896	0.29048	0.30834	0.28468	0.2802	
H	0.26938	0.2772	0.26942	0.26058	0.29206	0.26928	0.26576	0.29492	0.26508	0.2718	0.28442	0.27006	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23552	0.24454	0.2526	0.26596	0.26354	0.28564	0.25738	0.26272	0.27646	0.27752	0.28088	0.28686	
B	0.23856	0.26532	0.26708	0.2515	0.2619	0.24958	0.2489	0.28856	0.26406	0.29482	0.2681	0.26566	
C	0.2557	0.23974	0.25962	0.27328	0.27802	0.27762	0.27724	0.2748	0.26208	0.30258	0.28984	0.29638	
D	0.24088	0.26918	0.26278	0.26168	0.29362	0.26746	0.27974	0.2752	0.26854	0.30408	0.28664	0.29698	
E	0.24418	0.23992	0.25436	0.27306	0.2663	0.2693	0.26746	0.28412	0.27806	0.2901	0.29154	0.30536	
F	0.26588	0.25428	0.25194	0.26936	0.26984	0.27922	0.28302	0.26302	0.26934	0.26856	0.29812	0.28892	
G	0.26496	0.24674	0.2562	0.27912	0.27496	0.24934	0.29368	0.25846	0.29224	0.30612	0.2843	0.27946	
H	0.27012	0.27806	0.26758	0.25944	0.2912	0.27096	0.26678	0.29324	0.26654	0.27142	0.282	0.27052	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23392	0.24428	0.25154	0.26504	0.26234	0.28324	0.25734	0.26138	0.2748	0.27694	0.2799	0.2855	
B	0.23596	0.26388	0.26434	0.25066	0.25626	0.24892	0.24876	0.28546	0.26246	0.29212	0.266	0.2651	
C	0.25402	0.23992	0.2584	0.27184	0.2757	0.2763	0.2764	0.27512	0.26162	0.30326	0.28976	0.29748	
D	0.24172	0.26884	0.26312	0.26234	0.29428	0.2657	0.2797	0.27404	0.26688	0.3022	0.2909	0.29684	
E	0.24362	0.23818	0.25426	0.2723	0.26586	0.26526	0.26744	0.28232	0.27788	0.28904	0.29246	0.30096	
F	0.26678	0.2542	0.25412	0.26666	0.26908	0.27492	0.28278	0.26026	0.26726	0.26698	0.29786	0.28666	
G	0.26442	0.24686	0.25794	0.27776	0.27398	0.24766	0.29732	0.2591	0.29058	0.30722	0.28598	0.27934	
H	0.26918	0.27812	0.2692	0.25996	0.29546	0.2692	0.26688	0.29418	0.26656	0.27038	0.2845	0.27126	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23566	0.24528	0.2526	0.26446	0.26248	0.28286	0.25692	0.26192	0.2748	0.2743	0.27878	0.28582	
B	0.23698	0.26492	0.26674	0.2514	0.25936	0.24854	0.24848	0.28762	0.26434	0.2925	0.2666	0.26444	
C	0.25434	0.23882	0.2585	0.27164	0.27586	0.27498	0.27638	0.2733	0.2604	0.30292	0.28856	0.29672	
D	0.24076	0.26776	0.26162	0.26154	0.29424	0.26494	0.2796	0.27562	0.26722	0.30102	0.28888	0.29732	
E	0.24342	0.23772	0.25402	0.27092	0.2663	0.2659	0.26962	0.28422	0.27582	0.28838	0.2924	0.30094	
F	0.26572	0.25202	0.25158	0.26626	0.26926	0.2747	0.28094	0.26114	0.26732	0.26608	0.29544	0.2885	
G	0.26332	0.2461	0.25688	0.2779	0.27436	0.2497	0.29478	0.25858	0.291	0.30718	0.28362	0.27728	
H	0.26828	0.27634	0.269	0.25722	0.29132	0.26996	0.2667	0.2935	0.26654	0.27132	0.27908	0.2702	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23318	0.24412	0.25158	0.26362	0.2608	0.28392	0.25756	0.2621	0.27332	0.27402	0.2789	0.28594	
B	0.23646	0.26364	0.26574	0.25168	0.25714	0.24772	0.24896	0.28564	0.26198	0.28956	0.26634	0.26338	
C	0.25314	0.23952	0.25734	0.27256	0.27628	0.27584	0.2775	0.27416	0.25998	0.30326	0.28926	0.29736	
D	0.2409	0.26842	0.26354	0.26292	0.29462	0.26654	0.28276	0.27666	0.2664	0.30296	0.28976	0.29702	
E	0.24376	0.23996	0.25708	0.27386	0.26828	0.26818	0.27142	0.28476	0.27734	0.29058	0.2917	0.3052	
F	0.26422	0.2524	0.25432	0.26766	0.2691	0.27592	0.28508	0.26294	0.26536	0.26598	0.2957	0.28818	
G	0.26254	0.24448	0.25838	0.27748	0.2744	0.24746	0.29696	0.26098	0.29192	0.30742	0.28632	0.27906	
H	0.26916	0.27862	0.2716	0.2598	0.2943	0.26928	0.26994	0.29446	0.2674	0.27312	0.28472	0.27108	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23506	0.24406	0.25226	0.26448	0.26248	0.28628	0.25798	0.26088	0.2727	0.2755	0.2777	0.2839	
B	0.23574	0.2647	0.26546	0.25158	0.25824	0.24844	0.24948	0.28386	0.26206	0.29202	0.26614	0.26208	
C	0.25332	0.2401	0.25802	0.27086	0.27654	0.27662	0.27692	0.27302	0.26152	0.30398	0.28916	0.29418	
D	0.24182	0.26922	0.26292	0.26184	0.29416	0.26604	0.28184	0.27412	0.26718	0.30214	0.29024	0.29376	
E	0.24522	0.23986	0.25684	0.27278	0.26832	0.26632	0.27098	0.28076	0.27812	0.2899	0.29194	0.30188	
F	0.26566	0.2548	0.25374	0.26754	0.27098	0.27754	0.28394	0.26046	0.26838	0.26822	0.29638	0.28672	
G	0.2617	0.247	0.26006	0.27736	0.27598	0.25062	0.29902	0.26074	0.29478	0.3099	0.28786	0.27936	
H	0.26972	0.27932	0.27062	0.2589	0.2925	0.27126	0.26986	0.29376	0.26864	0.27224	0.28364	0.27106	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23592	0.2427	0.25302	0.26356	0.2626	0.28336	0.25852	0.26088	0.27242	0.2725	0.27736	0.28258	
B	0.23612	0.26342	0.26506	0.25072	0.25922	0.24866	0.25066	0.2857	0.26184	0.29126	0.26582	0.26214	
C	0.25282	0.2394	0.25918	0.27198	0.27766	0.27542	0.27736	0.27286	0.25978	0.29998	0.28838	0.2936	
D	0.23992	0.2664	0.2636	0.26094	0.29332	0.26572	0.2812	0.2729	0.2675	0.3019	0.29012	0.29446	
E	0.24494	0.2409	0.25836	0.2738	0.26818	0.26836	0.27456	0.2839	0.27896	0.28966	0.29308	0.30334	
F	0.26456	0.25352	0.25528	0.26696	0.27112	0.27894	0.28836	0.2614	0.27006	0.26876	0.29836	0.28758	
G	0.26392	0.24658	0.26044	0.27664	0.27512	0.24846	0.29958	0.2597	0.29366	0.3065	0.287	0.27824	
H	0.27004	0.27668	0.2727	0.2605	0.2927	0.27026	0.27098	0.29328	0.2683	0.27208	0.28404	0.2716	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23442	0.24232	0.25452	0.26328	0.26064	0.28238	0.2597	0.26084	0.27148	0.27296	0.27764	0.28318	
B	0.23554	0.26306	0.26708	0.2509	0.25882	0.249	0.2515	0.28622	0.2626	0.29028	0.265	0.26244	
C	0.25254	0.23676	0.2577	0.27042	0.27406	0.27382	0.27652	0.27388	0.25992	0.3002	0.2879	0.29226	
D	0.23914	0.268	0.26564	0.26144	0.29294	0.26406	0.2841	0.27482	0.266	0.30126	0.28896	0.29434	
E	0.24424	0.24124	0.26198	0.2731	0.26888	0.26758	0.27738	0.28512	0.2794	0.29166	0.294	0.30336	
F	0.26606	0.25644	0.25788	0.26774	0.27222	0.27686	0.29362	0.26226	0.26842	0.26652	0.29772	0.28888	
G	0.26336	0.24772	0.26206	0.27686	0.2759	0.25024	0.30336	0.26084	0.29438	0.30828	0.28786	0.28014	
H	0.26874	0.27824	0.27456	0.2582	0.2946	0.27096	0.27508	0.29568	0.26716	0.2712	0.28496	0.27474	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23566	0.24292	0.2529	0.26458	0.26132	0.2821	0.26004	0.26	0.2722	0.27312	0.27832	0.28378	
B	0.2365	0.26352	0.27032	0.25178	0.25886	0.24772	0.25358	0.28532	0.26164	0.29034	0.26504	0.26282	
C	0.25188	0.23596	0.25638	0.26944	0.27236	0.27232	0.2766	0.27358	0.25944	0.30038	0.28814	0.2926	
D	0.23974	0.2655	0.26416	0.26182	0.29434	0.26482	0.2827	0.27366	0.26616	0.29966	0.28816	0.29406	
E	0.24746	0.24096	0.26144	0.27302	0.27052	0.26754	0.28144	0.28388	0.27938	0.2881	0.29364	0.3055	
F	0.26932	0.25664	0.25872	0.2672	0.27268	0.27818	0.29602	0.26362	0.26998	0.2678	0.29938	0.29112	
G	0.2663	0.24774	0.26634	0.27854	0.27786	0.25012	0.3061	0.26108	0.29564	0.30696	0.28776	0.28086	
H	0.2721	0.27736	0.27696	0.25822	0.29568	0.27274	0.27996	0.29528	0.2702	0.27112	0.2845	0.27348	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23434	0.24196	0.2545	0.2631	0.26158	0.28252	0.26018	0.26276	0.27184	0.27148	0.27624	0.2818	
