Raw data																																															Well positions	
0s	1800s	3600s	5400s	7200s	9000s	10800s	12600s	14400s	16200s	18000s	19800s	21600s	23400s	25200s	27000s	28800s	30600s	32400s	34200s	36000s	37800s	39600s	41400s	43200s	45000s	46800s	48600s	50400s	52200s	54000s	55800s	57599s	59400s	61199s	62999s	64799s	66599s	68399s	70199s	71999s	73799s	75599s	77399s	79199s	80999s	82799s		
30.0 °C	30.1 °C	30.2 °C	30.2 °C	30.2 °C	30.1 °C	30.2 °C	30.0 °C	30.0 °C	30.2 °C	30.0 °C	30.0 °C	30.2 °C	30.0 °C	30.1 °C	30.1 °C	30.1 °C	30.0 °C	30.0 °C	30.1 °C	30.1 °C	30.0 °C	29.9 °C	30.1 °C	30.1 °C	30.0 °C	30.2 °C	30.4 °C	30.2 °C	30.1 °C	30.1 °C	30.1 °C	30.2 °C	30.0 °C	30.0 °C	30.0 °C	30.2 °C	30.1 °C	30.1 °C	30.0 °C	30.0 °C	30.1 °C	30.4 °C	30.1 °C	30.2 °C	30.1 °C	30.1 °C		
0.23348	0.2344	0.2344	0.23552	0.23392	0.23566	0.23318	0.23506	0.23592	0.23442	0.23566	0.23434	0.23266	0.2351	0.235	0.23482	0.2352	0.236	0.23302	0.235	0.2352	0.23572	0.23394	0.23512	0.23522	0.23416	0.23468	0.2342	0.23426	0.23506	0.23244	0.23238	0.22782	0.22788	0.22884	0.22714	0.22598	0.22566	0.2227	0.22358	0.22278	0.22308	0.22338	0.22454	0.22234	0.22174	0.2206	A1	
0.24526	0.24506	0.24578	0.24454	0.24428	0.24528	0.24412	0.24406	0.2427	0.24232	0.24292	0.24196	0.24218	0.2437	0.2442	0.24446	0.24246	0.24364	0.24194	0.24438	0.2458	0.2461	0.24604	0.25026	0.25446	0.25334	0.25544	0.26012	0.26952	0.2906	0.3039	0.31838	0.35232	0.37158	0.39358	0.42704	0.46162	0.50412	0.5462	0.58788	0.62408	0.65618	0.68556	0.71002	0.73498	0.75044	0.76146	A2	
0.2514	0.25406	0.25412	0.2526	0.25154	0.2526	0.25158	0.25226	0.25302	0.25452	0.2529	0.2545	0.2564	0.25768	0.2631	0.26506	0.27362	0.28318	0.29378	0.30742	0.32182	0.3394	0.35926	0.38708	0.40636	0.42226	0.44074	0.45832	0.4795	0.51672	0.55982	0.60188	0.63286	0.65924	0.67948	0.6945	0.70558	0.71682	0.72932	0.73706	0.7444	0.75168	0.76268	0.76726	0.77656	0.7839	0.78676	A3	
0.26828	0.26516	0.26696	0.26596	0.26504	0.26446	0.26362	0.26448	0.26356	0.26328	0.26458	0.2631	0.26458	0.26348	0.2657	0.2648	0.26488	0.2735	0.27368	0.27582	0.27666	0.27944	0.27936	0.28078	0.27792	0.27926	0.28108	0.28618	0.31574	0.3263	0.32856	0.327	0.35044	0.37212	0.4104	0.4773	0.5252	0.55596	0.565	0.58644	0.6347	0.6421	0.65468	0.66336	0.68256	0.70558	0.72056	A4	
0.26614	0.26542	0.26318	0.26354	0.26234	0.26248	0.2608	0.26248	0.2626	0.26064	0.26132	0.26158	0.26182	0.26254	0.26478	0.26512	0.26712	0.272	0.27424	0.282	0.28704	0.29748	0.30806	0.3238	0.33566	0.34854	0.37902	0.40078	0.41904	0.42864	0.44202	0.45652	0.4716	0.4813	0.49216	0.50908	0.52436	0.52556	0.51514	0.52552	0.5523	0.5709	0.58734	0.58774	0.59656	0.60378	0.60028	A5	
0.28992	0.2876	0.28806	0.28564	0.28324	0.28286	0.28392	0.28628	0.28336	0.28238	0.2821	0.28252	0.28198	0.28398	0.2855	0.28172	0.28242	0.2861	0.28732	0.28954	0.29222	0.29424	0.29674	0.29992	0.30384	0.30742	0.32496	0.33324	0.32798	0.34806	0.38628	0.39808	0.4083	0.431	0.47214	0.50472	0.53584	0.5602	0.59166	0.6509	0.6544	0.67084	0.69396	0.71968	0.7416	0.76968	0.79104	A6	
0.26142	0.25894	0.26002	0.25738	0.25734	0.25692	0.25756	0.25798	0.25852	0.2597	0.26004	0.26018	0.2631	0.26536	0.26778	0.27166	0.27642	0.28508	0.29356	0.30898	0.32262	0.34162	0.35694	0.39014	0.4148	0.44024	0.45522	0.4681	0.4833	0.50238	0.51874	0.53806	0.5536	0.57424	0.59604	0.61982	0.64096	0.66196	0.6861	0.69934	0.7152	0.72598	0.73884	0.75788	0.76424	0.7716	0.78072	A7	
0.2668	0.26338	0.26272	0.26272	0.26138	0.26192	0.2621	0.26088	0.26088	0.26084	0.26	0.26276	0.26236	0.26222	0.26162	0.26232	0.26404	0.26624	0.26492	0.26612	0.2695	0.27158	0.2708	0.27292	0.27902	0.282	0.28416	0.28914	0.2902	0.2956	0.30146	0.30248	0.30788	0.3126	0.32142	0.3271	0.33896	0.34772	0.3483	0.3543	0.36642	0.37192	0.37606	0.38306	0.38442	0.39158	0.39454	A8	
0.27942	0.27824	0.27402	0.27646	0.2748	0.2748	0.27332	0.2727	0.27242	0.27148	0.2722	0.27184	0.27094	0.27088	0.27102	0.27168	0.2705	0.27024	0.26976	0.26996	0.26946	0.27194	0.26818	0.26954	0.26782	0.26716	0.26604	0.26668	0.2664	0.26706	0.26566	0.26418	0.26614	0.2656	0.26362	0.26484	0.2634	0.26428	0.26316	0.26216	0.2627	0.26152	0.2619	0.26148	0.2629	0.26362	0.26132	A9	
