##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Absorbance	Raw	FALSE	97	172800	1800				1	600	1	12	96	1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	29.60	0.109	0.1153	0.1061	0.1062	0.1061	0.1067	0.1063	0.1058	0.1059	0.1079	0.1062	0.1078	0.1075	0.1072	0.1041	0.153	0.1611	0.1057	0.1039	0.1026	0.1033	0.1071	0.1023	0.104	0.1056	0.106	0.1055	0.1144	0.1062	0.1057	0.1094	0.1058	0.1063	0.1063	0.1054	0.1064	0.1054	0.1061	0.1076	0.106	0.105	0.1072	0.1061	0.1064	0.1062	0.1063	0.1057	0.1064	0.0834	0.0842	0.0876	0.0841	0.0843	0.0846	0.0829	0.0851	0.0856	0.0833	0.0856	0.0841	0.0827	0.0851	0.0836	0.0839	0.0862	0.0854	0.0843	0.0846	0.0869	0.0852	0.0877	0.0862	0.0819	0.0829	0.0848	0.0836	0.3468	0.0839	0.0848	0.0849	0.088	0.0849	0.0844	0.0834	0.083	0.085	0.085	0.084	0.0844	0.0847	0.0862	0.0853	0.2006	0.1515	0.1886	0.2579	
30:00	30.00	0.1091	0.1154	0.1056	0.1059	0.1051	0.1059	0.1062	0.1058	0.1064	0.1073	0.1061	0.1069	0.1073	0.107	0.1043	0.1565	0.165	0.1054	0.1034	0.1022	0.1034	0.1075	0.1026	0.1034	0.1054	0.1058	0.1054	0.1139	0.1069	0.1054	0.1096	0.1061	0.1071	0.107	0.106	0.1058	0.1055	0.1061	0.1076	0.1059	0.1047	0.1096	0.1065	0.1065	0.1079	0.1061	0.1062	0.1056	0.0833	0.0836	0.0859	0.0844	0.0857	0.0843	0.0824	0.0846	0.0842	0.0836	0.0844	0.0835	0.0825	0.0848	0.0866	0.0851	0.0857	0.0852	0.0843	0.0836	0.0846	0.0859	0.0848	0.0851	0.0819	0.0828	0.0845	0.0835	0.344	0.0837	0.0847	0.0839	0.0872	0.0839	0.0838	0.0833	0.0828	0.0844	0.0846	0.0841	0.0838	0.0843	0.0853	0.0848	0.1929	0.1522	0.1882	0.2471	
1:00:00	30.00	0.1091	0.1153	0.1069	0.1057	0.105	0.106	0.1062	0.106	0.1064	0.1071	0.106	0.107	0.1072	0.1069	0.1042	0.1562	0.1646	0.1055	0.1033	0.102	0.1035	0.1075	0.1024	0.1034	0.1053	0.1058	0.1054	0.1141	0.1069	0.1053	0.1094	0.106	0.1069	0.1069	0.106	0.1059	0.106	0.1061	0.1075	0.1058	0.1048	0.1096	0.1062	0.1062	0.1066	0.1058	0.1058	0.1054	0.0831	0.0836	0.0857	0.0842	0.0874	0.0851	0.0827	0.0851	0.0841	0.0834	0.0839	0.0836	0.0826	0.085	0.7192	0.0838	0.0856	0.0863	0.0843	0.0836	0.0846	0.0854	0.085	0.0851	0.082	0.0831	0.0853	0.0835	0.3442	0.0839	0.0848	0.0839	0.087	0.084	0.0839	0.0834	0.0827	0.0843	0.086	0.0843	0.0838	0.0843	0.0856	0.0849	0.1978	0.1526	0.1896	0.2502	
1:30:00	30.00	0.1088	0.1154	0.107	0.1058	0.1051	0.106	0.1062	0.1059	0.1063	0.1069	0.1056	0.1076	0.1072	0.107	0.1055	0.153	0.1688	0.1055	0.1034	0.1021	0.1035	0.1076	0.1026	0.1034	0.1053	0.1057	0.1053	0.1146	0.1072	0.1053	0.1094	0.1062	0.1068	0.1071	0.1061	0.106	0.1061	0.1063	0.1075	0.1056	0.1051	0.1124	0.1061	0.1062	0.1064	0.106	0.106	0.1054	0.0835	0.0835	0.0863	0.0836	0.0856	0.0837	0.0823	0.0845	0.0846	0.0837	0.0843	0.0834	0.0826	0.0849	1.4116	0.0831	0.0861	0.0859	0.0841	0.0835	0.0846	0.0861	0.0852	0.0847	0.0821	0.0831	0.0853	0.0835	0.3455	0.0838	0.0846	0.084	0.087	0.0844	0.0838	0.0832	0.083	0.0845	0.0858	0.0841	0.0838	0.0845	0.085	0.0849	0.1853	0.1516	0.1891	0.2371	
2:00:00	30.00	0.1089	0.1155	0.107	0.1059	0.1056	0.106	0.1064	0.106	0.1063	0.1069	0.1058	0.1082	0.1074	0.107	0.1057	0.1536	0.167	0.1055	0.1034	0.1023	0.1034	0.1077	0.1026	0.1033	0.1053	0.1058	0.1055	0.1147	0.1074	0.1055	0.1095	0.1062	0.1069	0.107	0.106	0.1059	0.106	0.1062	0.1075	0.1056	0.1053	0.1129	0.1063	0.1062	0.1065	0.106	0.1061	0.1053	0.0834	0.0835	0.086	0.0839	0.0887	0.0843	0.0825	0.0845	0.0849	0.0834	0.0848	0.0836	0.0827	0.0851	1.2947	0.0834	0.086	0.086	0.0844	0.0845	0.0847	0.0859	0.0853	0.0855	0.0823	0.0837	0.0854	0.0836	0.3473	0.084	0.0849	0.0844	0.0874	0.0842	0.084	0.0835	0.083	0.0845	0.0862	0.0846	0.0844	0.0843	0.0853	0.0851	0.1865	0.1536	0.188	0.2409	
2:30:00	30.00	0.109	0.1155	0.1071	0.1062	0.106	0.106	0.1066	0.1063	0.1067	0.1074	0.1061	0.1093	0.1073	0.1069	0.1045	0.1547	0.1664	0.1055	0.1034	0.1022	0.1034	0.1076	0.1026	0.1036	0.1054	0.1057	0.1056	0.1149	0.1075	0.1056	0.1097	0.1063	0.1071	0.107	0.1062	0.106	0.106	0.1062	0.1075	0.1056	0.1053	0.1124	0.1065	0.1064	0.1067	0.1062	0.1063	0.1056	0.0835	0.0838	0.0873	0.0844	0.0875	0.0855	0.0827	0.0858	0.0849	0.0837	0.0851	0.0836	0.0827	0.085	1.4974	0.0839	0.0864	0.0877	0.0846	0.085	0.0852	0.0863	0.0855	0.0853	0.0823	0.0833	0.0851	0.0839	0.3451	0.0839	0.0846	0.0845	0.0885	0.0841	0.084	0.0836	0.0832	0.0848	0.0862	0.0848	0.084	0.0845	0.0855	0.0853	0.191	0.1512	0.1887	0.2429	
3:00:00	30.00	0.1091	0.1156	0.1074	0.1075	0.1061	0.1061	0.1071	0.1068	0.1069	0.1071	0.1061	0.1106	0.1074	0.1073	0.1047	0.1515	0.1714	0.1057	0.1038	0.1024	0.1037	0.1077	0.1029	0.1039	0.1056	0.1058	0.106	0.1155	0.1087	0.1059	0.1101	0.1065	0.1072	0.1073	0.1065	0.1066	0.1058	0.1065	0.1078	0.1056	0.1058	0.1149	0.107	0.1066	0.1071	0.1064	0.1067	0.1059	0.0838	0.0841	0.0895	0.0853	0.0865	0.087	0.0828	0.0854	0.0863	0.0842	0.0855	0.0838	0.0828	0.0853	0.5591	0.0845	0.0875	0.0928	0.0854	0.0853	0.0856	0.0873	0.0864	0.0856	0.0825	0.0838	0.0854	0.084	0.348	0.0839	0.0846	0.0845	0.0876	0.0848	0.0841	0.0837	0.0835	0.0849	0.0864	0.085	0.0841	0.0845	0.0853	0.0853	0.1778	0.1531	0.1876	0.2276	
3:30:00	30.00	0.1095	0.1157	0.1076	0.108	0.106	0.1061	0.1076	0.107	0.1071	0.1076	0.1065	0.1121	0.1073	0.1071	0.1063	0.1516	0.1703	0.1056	0.1038	0.1024	0.1037	0.1077	0.1029	0.1042	0.1057	0.1058	0.1061	0.1159	0.1092	0.106	0.1102	0.1066	0.1073	0.1072	0.1065	0.1069	0.1057	0.1065	0.1078	0.1057	0.106	0.1141	0.1078	0.1068	0.1077	0.1066	0.1071	0.106	0.084	0.0849	0.0912	0.089	0.0891	0.0871	0.0834	0.0858	0.0869	0.0843	0.0864	0.0841	0.0831	0.0854	0.6693	0.0934	0.0887	0.0927	0.0856	0.0858	0.086	0.0883	0.0875	0.0862	0.0827	0.0839	0.0856	0.0841	0.3471	0.0843	0.0848	0.0846	0.088	0.0851	0.0847	0.0837	0.0842	0.0851	0.0867	0.0853	0.0843	0.0847	0.0858	0.0857	0.1837	0.1518	0.1884	0.2339	
4:00:00	30.00	0.1099	0.1156	0.1079	0.1079	0.1066	0.1062	0.1082	0.1074	0.1075	0.1084	0.1072	0.115	0.1073	0.1069	0.1069	0.1572	0.1656	0.1057	0.1039	0.1025	0.1039	0.1076	0.1031	0.1047	0.106	0.1061	0.1063	0.1161	0.1089	0.1064	0.1107	0.1067	0.1077	0.1071	0.1067	0.1074	0.1057	0.1063	0.1077	0.1059	0.1061	0.1104	0.1089	0.107	0.108	0.1066	0.1075	0.1063	0.084	0.0871	0.0916	0.0965	0.0887	0.088	0.0846	0.0887	0.0883	0.0842	0.0874	0.0845	0.0832	0.0854	1.602	0.0955	0.0896	0.0928	0.0865	0.0881	0.0874	0.0883	0.0885	0.0879	0.0826	0.0834	0.0856	0.0858	0.3437	0.0839	0.0849	0.085	0.0881	0.0857	0.0846	0.0841	0.084	0.085	0.087	0.0859	0.0844	0.0846	0.0867	0.0864	0.1986	0.1532	0.1915	0.2482	
4:30:00	30.00	0.1104	0.116	0.1083	0.1092	0.1064	0.106	0.1097	0.1082	0.1079	0.1085	0.1076	0.1188	0.1075	0.1071	0.1067	0.1555	0.1669	0.1056	0.1044	0.1025	0.1042	0.1078	0.1033	0.1056	0.1062	0.1064	0.1078	0.1172	0.1106	0.1068	0.1118	0.1071	0.1082	0.1074	0.1071	0.109	0.1057	0.1066	0.1082	0.106	0.1067	0.1134	0.1112	0.1077	0.109	0.1073	0.1084	0.1074	0.0844	0.0855	0.0927	0.0876	0.0871	0.0883	0.0852	0.0861	0.0867	0.0836	0.0895	0.0851	0.0832	0.0857	0.754	0.093	0.0906	0.0977	0.088	0.0853	0.0872	0.0901	0.0906	0.0885	0.0828	0.0844	0.0857	0.0847	0.346	0.0844	0.0852	0.0849	0.088	0.0859	0.0852	0.0842	0.084	0.0852	0.0872	0.0872	0.0847	0.0851	0.0866	0.0861	0.1911	0.1537	0.1898	0.2438	
