value_type,name,name,name,name,name,name,name,name,name,name,name,name,media,media,media,media,media,media,media,media,media,media,media,media,induction,induction,induction,induction,induction,induction,induction,induction,induction,induction,induction,induction
column,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,LB BW,LB BW,LB BW,LB BW,glyc BW,glyc BW,glyc BW,glyc BW,glucon BW,glucon BW,glucon BW,glucon BW,LB,LB,LB,LB,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM
B,LB CA,LB CA,LB CA,LB CA,glyc CA,glyc CA,glyc CA,glyc CA,glucon CA,glucon CA,glucon CA,glucon CA,LB,LB,LB,LB,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM
C,LB CCMB1,LB CCMB2,LB CCMB3,LB CCMB4,glyc CCMB1,glyc CCMB2,glyc CCMB3,glyc CCMB4,glucon CCMB1,glucon CCMB2,glucon CCMB3,glucon CCMB4,LB,LB,LB,LB,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM
D,LB ls,LB ls,LB ls,LB ls,glyc ls,glyc ls,glyc ls,glyc ls,glucon ls,glucon ls,glucon ls,glucon ls,LB,LB,LB,LB,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM
E,LB BW ind,LB BW ind,LB BW ind,LB BW ind,glyc BW ind,glyc BW ind,glyc BW ind,glyc BW ind,glucon BW ind,glucon BW ind,glucon BW ind,glucon BW ind,LB,LB,LB,LB,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM
F,LB CA ind,LB CA ind,LB CA ind,LB CA ind,glyc CA ind,glyc CA ind,glyc CA ind,glyc CA ind,glucon CA ind,glucon CA ind,glucon CA ind,glucon CA ind,LB,LB,LB,LB,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM
G,LB CCMB1 ind,LB CCMB1 ind,LB CCMB1 ind,LB CCMB1 ind,glyc CCMB1 ind,glyc CCMB1 ind,glyc CCMB1 ind,glyc CCMB1 ind,glucon CCMB1 ind,glucon CCMB1 ind,glucon CCMB1 ind,glucon CCMB1 ind,LB,LB,LB,LB,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM
H,LB ls ind,LB ls ind,LB ls ind,LB ls ind,glyc ls ind,glyc ls ind,glyc ls ind,glyc ls ind,glucon ls ind,glucon ls ind,glucon ls ind,glucon ls ind,LB,LB,LB,LB,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 glycerol CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,m9 gluconate CAA,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM,100 nM
