value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,dCas9_0nM,dCas9_0nM,dCas9_0nM,No C2C2_0nM,No C2C2_0nM,No C2C2_0nM,NT _0nM,NT _0nM,NT _0nM,Sp01_0nM,Sp01_0nM,Sp01_0nM
B,dCas9_2nM,dCas9_2nM,dCas9_2nM,No C2C2_2nM,No C2C2_2nM,No C2C2_2nM,NT _2nM,NT _2nM,NT _2nM,Sp01_2nM,Sp01_2nM,Sp01_2nM
C,dCas9_20nM,dCas9_20nM,dCas9_20nM,No C2C2_20nM,No C2C2_20nM,No C2C2_20nM,NT _20nM,NT _20nM,NT _20nM,Sp01_20nM,Sp01_20nM,Sp01_20nM
D,dCas9_2000nM,dCas9_2000nM,dCas9_2000nM,No C2C2_2000nM,No C2C2_2000nM,No C2C2_2000nM,NT _2000nM,NT _2000nM,NT _2000nM,Sp01_2000nM,Sp01_2000nM,Sp01_2000nM
E,Sp02_0nM,Sp02_0nM,Sp02_0nM,Sp03_0nM,Sp03_0nM,Sp03_0nM,Sp04 _0nM,Sp04 _0nM,Sp04 _0nM,Sp05 _0nM,Sp05 _0nM,Sp05 _0nM
F,Sp02_2nM,Sp02_2nM,Sp02_2nM,Sp03_2nM,Sp03_2nM,Sp03_2nM,Sp04 _2nM,Sp04 _2nM,Sp04 _2nM,Sp05 _2nM,Sp05 _2nM,Sp05 _2nM
G,Sp02_20nM,Sp02_20nM,Sp02_20nM,Sp03_20nM,Sp03_20nM,Sp03_20nM,Sp04 _20nM,Sp04 _20nM,Sp04 _20nM,Sp05 _20nM,Sp05 _20nM,Sp05 _20nM
H,Sp02_2000nM,Sp02_2000nM,Sp02_2000nM,Sp03_2000nM,Sp03_2000nM,Sp03_2000nM,Sp04 _2000nM,Sp04 _2000nM,Sp04 _2000nM,Sp05 _2000nM,Sp05 _2000nM,Sp05 _2000nM
