value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,JB9,JB9,JB9,JB9,JB9,JB9,JB9 + aTc100,JB9 + aTc100,JB9 + aTc100,JB9 + aTc100,JB9 + aTc100,JB9 + aTc100
B,JB11,JB11,JB11,JB11,JB11,JB11,JB11 + aTc100,JB11 + aTc100,JB11 + aTc100,JB11 + aTc100,JB11 + aTc100,JB11 + aTc100
C,JB12,JB12,JB12,JB12,JB12,JB12,JB12 + aTc100,JB12 + aTc100,JB12 + aTc100,JB12 + aTc100,JB12 + aTc100,JB12 + aTc100
D,JB14,JB14,JB14,JB14,JB14,JB14,JB14 + aTc100,JB14 + aTc100,JB14 + aTc100,JB14 + aTc100,JB14 + aTc100,JB14 + aTc100
E,JB3,JB3,JB3,JB3,JB3,JB3,JB3 + aTc100,JB3 + aTc100,JB3 + aTc100,JB3 + aTc100,JB3 + aTc100,JB3 + aTc100
F,JB5,JB5,JB5,JB5,JB5,JB5,JB5 + aTc100,JB5 + aTc100,JB5 + aTc100,JB5 + aTc100,JB5 + aTc100,JB5 + aTc100
G,JB6,JB6,JB6,JB6,JB6,JB6,JB6 + aTc100,JB6 + aTc100,JB6 + aTc100,JB6 + aTc100,JB6 + aTc100,JB6 + aTc100
H,JB8,JB8,JB8,JB8,JB8,JB8,JB8 + aTc100,JB8 + aTc100,JB8 + aTc100,JB8 + aTc100,JB8 + aTc100,JB8 + aTc100
